date,O+,A+,B+,AB+,O-,A-,B-,AB-
2024-08-29,17,15,4,1,0,0,0,0
2024-08-30,15,14,4,1,0,0,0,0
2024-08-31,17,15,4,1,0,0,0,0
2024-09-01,22,20,6,2,1,1,0,0
2024-09-02,15,13,4,1,0,0,0,0
2024-09-03,11,10,3,1,0,0,0,0
2024-09-04,19,18,5,2,1,1,0,0
2024-09-05,17,16,4,1,0,0,0,0
2024-09-06,21,19,5,2,1,1,0,0
2024-09-07,12,11,3,1,0,0,0,0
2024-09-08,16,15,4,1,0,0,0,0
2024-09-09,19,17,5,2,1,1,0,0
2024-09-10,15,14,4,1,0,0,0,0
2024-09-11,17,15,4,1,0,0,0,0
2024-09-12,14,13,4,1,0,0,0,0
2024-09-13,11,10,3,1,0,0,0,0
2024-09-14,17,16,4,1,0,0,0,0
2024-09-15,15,14,4,1,0,0,0,0
2024-09-16,21,20,5,2,1,1,0,0
2024-09-17,17,16,4,1,0,0,0,0
2024-09-18,25,23,6,2,1,1,0,0
2024-09-19,24,22,6,2,1,1,0,0
2024-09-20,13,12,3,1,0,0,0,0
2024-09-21,12,11,3,1,0,0,0,0
2024-09-22,8,7,2,0,0,0,0,0
2024-09-23,21,19,5,2,1,1,0,0
2024-09-24,23,21,6,2,1,1,0,0
2024-09-25,16,14,4,1,0,0,0,0
2024-09-26,16,15,4,1,0,0,0,0
2024-09-27,12,11,3,1,0,0,0,0
2024-09-28,9,9,2,1,0,0,0,0
2024-09-29,20,18,5,2,1,1,0,0
2024-09-30,19,17,5,2,1,1,0,0
2024-10-01,14,13,4,1,0,0,0,0
2024-10-02,17,16,4,1,0,0,0,0
2024-10-03,25,23,6,2,1,1,0,0
2024-10-04,16,15,4,1,0,0,0,0
2024-10-05,17,16,4,1,0,0,0,0
2024-10-06,17,15,4,1,0,0,0,0
2024-10-07,13,12,3,1,0,0,0,0
2024-10-08,22,20,6,2,1,1,0,0
2024-10-09,16,14,4,1,0,0,0,0
2024-10-10,13,12,3,1,0,0,0,0
2024-10-11,18,17,5,2,1,1,0,0
2024-10-12,17,16,4,1,0,0,0,0
2024-10-13,18,17,5,2,1,1,0,0
2024-10-14,17,15,4,1,0,0,0,0
2024-10-15,15,13,4,1,0,0,0,0
2024-10-16,24,22,6,2,1,1,0,0
2024-10-17,11,10,3,1,0,0,0,0
2024-10-18,15,14,4,1,0,0,0,0
2024-10-19,15,14,4,1,0,0,0,0
2024-10-20,14,12,3,1,0,0,0,0
2024-10-21,22,20,6,2,1,1,0,0
2024-10-22,15,14,4,1,0,0,0,0
2024-10-23,18,16,4,1,0,0,0,0
2024-10-24,23,21,6,2,1,1,0,0
2024-10-25,18,17,5,2,1,1,0,0
2024-10-26,14,12,3,1,0,0,0,0
2024-10-27,12,11,3,1,0,0,0,0
2024-10-28,25,23,6,2,1,1,0,0
2024-10-29,15,13,4,1,0,0,0,0
2024-10-30,18,16,4,1,0,0,0,0
2024-10-31,15,14,4,1,0,0,0,0
2024-11-01,12,11,3,1,0,0,0,0
2024-11-02,8,8,2,0,0,0,0,0
2024-11-03,11,10,3,1,0,0,0,0
2024-11-04,24,22,6,2,1,1,0,0
2024-11-05,19,18,5,2,1,1,0,0
2024-11-06,22,21,6,2,1,1,0,0
2024-11-07,19,18,5,2,1,1,0,0
2024-11-08,16,15,4,1,0,0,0,0
2024-11-09,18,16,4,1,0,0,0,0
2024-11-10,14,13,4,1,0,0,0,0
2024-11-11,20,19,5,2,1,1,0,0
2024-11-12,17,16,4,1,0,0,0,0
2024-11-13,12,11,3,1,0,0,0,0
2024-11-14,12,11,3,1,0,0,0,0
2024-11-15,18,16,4,1,0,0,0,0
2024-11-16,11,10,3,1,0,0,0,0
2024-11-17,13,12,3,1,0,0,0,0
2024-11-18,18,16,4,1,0,0,0,0
2024-11-19,18,17,5,2,1,1,0,0
2024-11-20,18,16,4,1,0,0,0,0
2024-11-21,17,15,4,1,0,0,0,0
2024-11-22,11,10,3,1,0,0,0,0
2024-11-23,14,13,3,1,0,0,0,0
2024-11-24,11,10,3,1,0,0,0,0
2024-11-25,21,19,5,2,1,1,0,0
2024-11-26,12,11,3,1,0,0,0,0
2024-11-27,18,17,5,2,1,1,0,0
2024-11-28,11,10,3,1,0,0,0,0
2024-11-29,17,16,4,1,0,0,0,0
2024-11-30,14,12,3,1,0,0,0,0
2024-12-01,10,9,2,1,0,0,0,0
2024-12-02,16,14,4,1,0,0,0,0
2024-12-03,12,11,3,1,0,0,0,0
2024-12-04,18,16,4,1,0,0,0,0
2024-12-05,21,20,5,2,1,1,0,0
2024-12-06,20,19,5,2,1,1,0,0
2024-12-07,17,16,4,1,0,0,0,0
2024-12-08,21,19,5,2,1,1,0,0
2024-12-09,17,16,4,1,0,0,0,0
2024-12-10,11,10,3,1,0,0,0,0
2024-12-11,18,16,4,1,0,0,0,0
2024-12-12,12,11,3,1,0,0,0,0
2024-12-13,18,17,5,2,1,1,0,0
2024-12-14,15,14,4,1,0,0,0,0
2024-12-15,18,16,4,1,0,0,0,0
2024-12-16,14,13,4,1,0,0,0,0
2024-12-17,15,14,4,1,0,0,0,0
2024-12-18,11,10,3,1,0,0,0,0
2024-12-19,16,15,4,1,0,0,0,0
2024-12-20,17,15,4,1,0,0,0,0
2024-12-21,15,14,4,1,0,0,0,0
2024-12-22,14,13,3,1,0,0,0,0
2024-12-23,12,11,3,1,0,0,0,0
2024-12-24,16,15,4,1,0,0,0,0
2024-12-25,14,13,4,1,0,0,0,0
2024-12-26,21,20,5,2,1,1,0,0
2024-12-27,27,25,7,2,1,1,0,0
2024-12-28,13,12,3,1,0,0,0,0
2024-12-29,11,10,3,1,0,0,0,0
2024-12-30,18,17,5,2,1,1,0,0
2024-12-31,16,15,4,1,0,0,0,0
